"ID","영역","시나리오","판정","Given","When","Then","실제 오류","화면 증거"
"C21","client-chapters","공개 챕터 직접 접속: 장미 정원의 여왕","통과","alice의 alice-5가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C21.png"
"C22","client-chapters","공개 챕터 직접 접속: 꿈에서 깨어나는 시간","통과","alice의 alice-6가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C22.png"
"C23","client-chapters","공개 챕터 직접 접속: 노란 벽돌 길","통과","oz의 oz-1가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C23.png"
"C24","client-chapters","공개 챕터 직접 접속: 함께 걷는 숲","통과","oz의 oz-2가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C24.png"
"C25","client-chapters","공개 챕터 직접 접속: 집으로 가는 마음","통과","oz의 oz-3가 공개되어 있다","해당 챕터 주소로 접속하고 독서 창을 확인한다","챕터 제목과 비어 있지 않은 본문 및 3D 장면을 표시한다","","evidence/C25.png"
"R1","client-recovery","손상된 방문 기록 복구 1","통과","브라우저 방문 기록이 올바른 형식이 아니다","사용자 화면을 열고 탐험을 시작한다","화면이 멈추지 않고 첫 챕터를 탐험할 수 있다","","evidence/R1.png"
"R2","client-recovery","손상된 방문 기록 복구 2","통과","브라우저 방문 기록이 올바른 형식이 아니다","사용자 화면을 열고 탐험을 시작한다","화면이 멈추지 않고 첫 챕터를 탐험할 수 있다","","evidence/R2.png"
"R3","client-recovery","손상된 방문 기록 복구 3","통과","브라우저 방문 기록이 올바른 형식이 아니다","사용자 화면을 열고 탐험을 시작한다","화면이 멈추지 않고 첫 챕터를 탐험할 수 있다","","evidence/R3.png"
"R4","client-recovery","손상된 방문 기록 복구 4","통과","브라우저 방문 기록이 올바른 형식이 아니다","사용자 화면을 열고 탐험을 시작한다","화면이 멈추지 않고 첫 챕터를 탐험할 수 있다","","evidence/R4.png"
"R05","client-recovery","책장 요청 실패 후 재시도","통과","책장 응답이 일시적으로 실패한다","오류 화면에서 다시 시도를 누른다","오류 안내 후 정상 첫 화면으로 복구한다","","evidence/R05.png"
"R06","client-recovery","공개 도서가 없는 책장","통과","공개 도서 목록이 비어 있다","사용자 화면에 접속한다","새로운 이야기를 준비한다는 안내가 보인다","","evidence/R06.png"
"R07","client-recovery","3D 미지원 브라우저의 본문 대안","통과","브라우저가 3D 그래픽을 지원하지 않는다","사용자 화면에서 이야기 읽기를 누른다","3D 오류 안내와 함께 본문 및 원작 링크를 읽을 수 있다","","evidence/R07.png"
"R08","client-recovery","저장 공간 쓰기 실패 안내","통과","브라우저가 방문 기록 저장을 거부한다","처음 탐험을 시작한다","탐험을 유지하면서 저장 불가 안내를 표시한다","","evidence/R08.png"
"R09","client-recovery","응답이 느릴 때 중복 진입 방지","통과","책장 응답이 대기 중이다","사용자가 초기 로딩 상태를 확인한다","로딩을 알리고 응답이 끝나면 시작 버튼이 표시된다","","evidence/R09.png"
"A01","admin-shelf","관리자 도서 보관함","통과","로컬 관리자 화면에 접속한다","도서 목록과 저장 및 공개 버튼을 확인한다","기존 책 2권과 검색 및 상태 필터가 표시된다","","evidence/A01.png"
"A02","admin-shelf","도서 제목 검색","통과","도서가 여러 권 존재한다","앨리스를 검색한다","앨리스만 표시된다","","evidence/A02.png"
"A03","admin-shelf","검색 결과 없음과 검색 해제","통과","관리자가 도서 목록에 있다","없는 제목을 검색한 뒤 검색어를 지운다","빈 결과 안내 후 모든 도서가 다시 표시된다","","evidence/A03.png"
"A04","admin-shelf","공개 상태별 필터","통과","기존 책 두 권이 공개 대상이다","비공개 초안과 공개 대상을 차례로 고른다","각 조건에 맞는 도서만 표시된다","","evidence/A04.png"
"A05","admin-shelf","모델 보관함 검색","통과","기본 모델 9개가 존재한다","모델 보관함에서 토끼를 검색한다","일치하는 모델만 표시된다","","evidence/A05.png"
"A06","admin-shelf","설정 파일 내려받기","통과","관리자에 책과 모델 데이터가 있다","공개 및 안내에서 설정 내려받기를 누른다","설정 백업 파일이 내려받아진다","","evidence/A06.png"
"A07","admin-shelf","사용자 화면 새 창 링크","통과","관리자 도서 보관함에 있다","사용자 화면 열기를 누른다","새 창에서 사용자 화면이 정상 표시된다","","evidence/A07.png"
"A08","admin-shelf","스튜디오 요청 실패와 재시도","통과","관리자 데이터 응답에 일시 장애가 있다","다시 시도를 누른다","오류 안내 후 도서 보관함으로 복구한다","","evidence/A08.png"
"V01","book-validation","도서 입력 검증: 빈 제목","통과","새 책 정보 입력창이 열려 있다","빈 제목을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V01.png"
"V02","book-validation","도서 입력 검증: 빈 영문 제목","통과","새 책 정보 입력창이 열려 있다","빈 영문 제목을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V02.png"
"V03","book-validation","도서 입력 검증: 출간 연도 하한 미만","통과","새 책 정보 입력창이 열려 있다","출간 연도 하한 미만을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V03.png"
"V04","book-validation","도서 입력 검증: 출간 연도 상한 초과","통과","새 책 정보 입력창이 열려 있다","출간 연도 상한 초과을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V04.png"
"V05","book-validation","도서 입력 검증: 정수가 아닌 연도","통과","새 책 정보 입력창이 열려 있다","정수가 아닌 연도을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V05.png"
"V06","book-validation","도서 입력 검증: 잘못된 출처 주소","통과","새 책 정보 입력창이 열려 있다","잘못된 출처 주소을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V06.png"
"V07","book-validation","도서 입력 검증: 실행 가능한 출처 주소","통과","새 책 정보 입력창이 열려 있다","실행 가능한 출처 주소을 입력하고 책 만들기를 누른다","입력창을 유지하고 잘못된 입력을 차단한다","","evidence/V07.png"
"V08","book-validation","공백으로만 된 제목 차단","실패","새 책 정보 입력창이 열려 있다","제목에 공백만 입력하고 책을 만든다","책 생성 전에 의미 있는 제목을 요청한다","공백 제목 생성 허용 후 저장 400: Too small: expected string to have >=1 characters","evidence/V08.png"
"V09","book-validation","문자열을 HTML로 실행하지 않음","통과","새 책 제목에 특수문자가 포함된다","태그와 한글 및 이모지가 있는 제목으로 책을 만든다","문자열을 그대로 표시하고 스크립트를 실행하지 않는다","","evidence/V09.png"
"V10","book-validation","새 비공개 책의 기본 챕터와 저장","통과","관리자가 새 책을 만들 수 있다","정상 제목으로 비공개 책을 만들고 임시 저장한다","기본 챕터 1개와 비공개 상태로 저장되고 사용자 책장에는 없다","","evidence/V10.png"
"B01","chapter-validation","챕터 입력 검증: 가로 하한 미만","통과","챕터 설정창이 열려 있다","가로 하한 미만 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B01.png"
"B02","chapter-validation","챕터 입력 검증: 가로 상한 초과","통과","챕터 설정창이 열려 있다","가로 상한 초과 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B02.png"
"B03","chapter-validation","챕터 입력 검증: 세로 하한 미만","통과","챕터 설정창이 열려 있다","세로 하한 미만 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B03.png"
"B04","chapter-validation","챕터 입력 검증: 세로 상한 초과","통과","챕터 설정창이 열려 있다","세로 상한 초과 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B04.png"
"B05","chapter-validation","챕터 입력 검증: 페이지 글자 수 하한 미만","통과","챕터 설정창이 열려 있다","페이지 글자 수 하한 미만 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B05.png"
"B06","chapter-validation","챕터 입력 검증: 페이지 글자 수 상한 초과","통과","챕터 설정창이 열려 있다","페이지 글자 수 상한 초과 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B06.png"
"B07","chapter-validation","챕터 입력 검증: 카메라 여백 상한 초과","통과","챕터 설정창이 열려 있다","카메라 여백 상한 초과 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B07.png"
"B08","chapter-validation","챕터 입력 검증: 접근 배율 상한 초과","통과","챕터 설정창이 열려 있다","접근 배율 상한 초과 값을 입력하고 변경 적용을 누른다","잘못된 입력을 차단하고 설정창을 유지한다","","evidence/B08.png"
"E01","admin-edit","저장 전 편집 내용 유지","통과","앨리스의 도서 편집 화면이다","책 제목을 바꾸고 나가기에서 계속 편집을 누른다","편집 화면과 바꾼 제목이 유지된다","","evidence/E01.png"
"E02","admin-edit","저장하지 않고 나가기","통과","책 제목을 변경했지만 저장하지 않았다","저장하지 않고 나가기를 선택한 뒤 책을 다시 연다","기존 제목으로 되돌아온다","","evidence/E02.png"
"E03","admin-edit","저장 후 나가기","통과","책 제목을 변경했지만 저장하지 않았다","저장 후 나가기를 선택하고 새로고침한다","도서 목록에 변경한 제목이 남는다","","evidence/E03.png"
"E04","admin-edit","실행 취소와 다시 실행","통과","도서 제목 변경을 적용했다","실행 취소 후 다시 실행한다","원래 제목과 변경한 제목이 순서대로 복원된다","","evidence/E04.png"
"E05","admin-edit","챕터 이동 중 같은 3D 화면 유지","통과","앨리스 편집 화면이 열려 있다","여러 챕터를 순서대로 선택한다","선택한 챕터가 활성화되고 3D 화면이 재생성되지 않는다","","evidence/E05.png"
"E06","admin-edit","챕터 이름과 본문 저장","통과","기존 첫 챕터를 편집한다","제목과 한글 및 이모지 본문을 바꾼 뒤 저장하고 다시 연다","입력한 챕터 제목과 본문이 유지된다","","evidence/E06.png"
"E07","admin-edit","챕터 순서 키보드 변경과 취소","통과","앨리스의 첫 챕터가 선택되어 있다","순서 손잡이에서 Alt+아래를 누르고 실행 취소한다","챕터 순서가 바뀌고 취소하면 원래 순서가 된다","","evidence/E07.png"
"E08","admin-edit","챕터 추가를 취소하면 원상 복귀","수용 기준 확인","기존 챕터 개수를 확인했다","챕터 추가를 누른 뒤 입력창을 닫는다","추가 확정 전 취소한 챕터는 남지 않는다","추가 취소 시 챕터 개수: expected 6, actual 7","evidence/E08.png"
"E09","admin-edit","마지막 챕터 삭제 방지","통과","기본 챕터가 하나뿐인 새 책","챕터 설정을 연다","유일한 챕터의 삭제 버튼이 비활성이다","","evidence/E09.png"
"E10","admin-edit","도서 삭제 확인에서 취소","통과","기존 도서의 삭제를 요청한다","삭제 확인창에서 취소한다","도서와 챕터가 유지된다","","evidence/E10.png"
"M01","admin-models","모델 선택과 위치 속성","통과","모델이 있는 첫 챕터의 편집 화면","모델 목록의 첫 모델을 선택한다","모델 이름과 실제 위치 및 애니메이션 설정을 확인할 수 있다","","evidence/M01.png"
"M02","admin-models","모델 높이 변경 저장","통과","첫 챕터 모델을 선택했다","높이를 2로 바꾸고 임시 저장한다","저장된 모델의 높이가 2이다","","evidence/M02.png"
"M03","admin-models","메인 모델 변경","통과","첫 챕터에 여러 모델이 있다","보조 모델을 선택해 메인 모델로 지정하고 저장한다","새 메인 모델이 목록과 저장 데이터에 반영된다","","evidence/M03.png"
"M04","admin-models","메인 모델 삭제 시 대체 모델 필수","통과","메인 모델과 보조 모델들이 있다","메인 모델 삭제를 누르고 대체 모델 없이 확정한다","대체 모델 선택창을 유지한다","","evidence/M04.png"
"M05","admin-models","모델 복제","통과","첫 챕터의 모델이 선택되어 있다","복제를 누른다","겹치지 않는 위치에 고유 식별자를 가진 모델이 하나 추가된다","","evidence/M05.png"
"M06","admin-models","첫 모델을 드래그해 배치","통과","모델이 없는 새 책의 챕터","기본 토끼 모델을 월드로 끌어 놓는다","모델이 추가되며 자동으로 메인 모델이 된다","","evidence/M06.png"
"M07","admin-models","편집 도구 단축키와 Escape","통과","모델을 선택한 편집 화면","E, S, R, Escape를 차례로 누른다","방향, 크기, 범위, 이동 도구가 각각 활성화된다","","evidence/M07.png"
"M08","admin-models","관리자 독자 체험과 편집 복귀","통과","편집 중인 챕터가 있다","독자 체험에서 다른 챕터를 보고 편집으로 돌아온다","본문과 장면을 체험하고 원래 편집 화면으로 돌아온다","","evidence/M08.png"
"U01","uploads","손상된 GLB 거부","통과","새 모델 등록창이 열려 있다","invalid.glb 파일을 선택한다","등록 실패 이유를 알리고 저장 버튼을 다시 사용할 수 있다","","evidence/U01.png"
"U02","uploads","뼈대 없는 GLB 거부","통과","새 모델 등록창이 열려 있다","unrigged.glb 파일을 선택한다","등록 실패 이유를 알리고 저장 버튼을 다시 사용할 수 있다","","evidence/U02.png"
"U03","uploads","25MB 초과 GLB 거부","통과","새 모델 등록창이 열려 있다","oversize.glb 파일을 선택한다","등록 실패 이유를 알리고 저장 버튼을 다시 사용할 수 있다","","evidence/U03.png"
"U04","uploads","정상 애니메이션 모델 등록과 저장","통과","유효한 애니메이션 GLB 파일이 준비되어 있다","이름과 사용 권한 및 파일을 입력하고 보관함에 등록한 뒤 저장한다","모델과 애니메이션 정보가 보관함에 저장된다","","evidence/U04.png"
"U05","uploads","파일 없이 모델 등록 차단","통과","이름과 사용 권한만 입력된 새 모델","파일을 선택하지 않고 보관함 등록을 누른다","유효한 파일을 먼저 등록하도록 안내한다","","evidence/U05.png"
"U06","uploads","사용 중인 모델 삭제 차단","통과","토끼 모델이 여러 챕터에 배치되어 있다","모델 정보에서 삭제를 누른다","장면에서 먼저 제거하도록 안내하고 모델을 유지한다","","evidence/U06.png"
"U07","uploads","잘못된 표지 이미지 거부: invalid.png","통과","도서 정보창이 열려 있다","invalid.png을 표지로 선택한다","파일 오류를 안내하고 변경 적용 버튼을 다시 사용할 수 있다","","evidence/U07.png"
"U08","uploads","잘못된 표지 이미지 거부: oversize.png","통과","도서 정보창이 열려 있다","oversize.png을 표지로 선택한다","파일 오류를 안내하고 변경 적용 버튼을 다시 사용할 수 있다","","evidence/U08.png"
"U09","uploads","표지 이미지 등록과 사용자 반영","통과","유효한 PNG 파일과 공개 도서가 있다","표지를 올려 적용하고 공개한다","사용자 책장에 등록한 표지가 로드된다","","evidence/U09.png"
"U10","uploads","바닥 이미지 등록과 저장","통과","도서 편집 화면이 열려 있다","PNG 바닥 이미지를 등록하고 저장한 뒤 다시 연다","등록 이미지가 바닥 이미지 목록에 남는다","","evidence/U10.png"
"I01","integration","임시 저장과 공개 분리","통과","공개된 앨리스 도서가 있다","관리자에서 제목을 바꾸고 임시 저장만 한다","관리자는 변경 제목을 보며 사용자 화면은 기존 제목을 표시한다","","evidence/I01.png"
"I02","integration","관리자 편집에서 공개와 사용자 확인까지","통과","관리자가 공개 도서를 편집한다","제목을 변경해 공개하고 사용자 화면을 새로 연다","변경한 책 제목이 사용자 첫 화면과 책장에 표시된다","","evidence/I02.png"
"I03","integration","비공개 전환 후 책장 제외","통과","공개 중인 앨리스가 있다","공개 대상 체크를 해제하고 공개한다","사용자 책장에서 앨리스가 사라지고 오즈는 남는다","","evidence/I03.png"
"I04","integration","저자 및 권리 정보 없는 공개 차단","통과","공개 대상 도서의 저자와 권리 정보가 비어 있다","공개를 누른다","누락 정보 안내가 나오며 공개 데이터는 그대로 유지된다","","evidence/I04.png"
"I05","integration","메인 모델 없는 챕터 공개 차단","통과","새 공개 대상 책에 모델이 없다","임시 저장 후 공개를 누른다","초안 저장은 되고 공개는 메인 모델 안내와 함께 거부된다","","evidence/I05.png"
"I06","integration","저장 오류 후 수정 내용 유지와 재시도","통과","책 제목을 수정한 상태에서 저장 요청이 실패한다","실패 안내를 확인한 뒤 다시 저장한다","편집 내용이 보존되고 두 번째 저장이 성공한다","","evidence/I06.png"
"I07","integration","다른 창의 저장과 충돌 처리","통과","두 관리자 창이 같은 도서를 열었다","첫 창에서 저장한 뒤 오래된 둘째 창이 저장한다","둘째 창은 덮어쓰지 않고 충돌을 알린다","","evidence/I07.png"
"I08","integration","저장 중 버튼 중복 요청 방지","통과","변경 내용을 저장하는 응답이 대기 중이다","저장 중 저장 및 공개 버튼을 확인한다","두 버튼을 비활성화하고 완료 후 활성화한다","","evidence/I08.png"
"S01","auth-basic","비로그인 관리자 접근 보호","통과","비밀번호 보호가 켜진 별도 환경","관리자 화면에 접속한다","로그인 화면이 표시되고 도서 편집 화면은 보이지 않는다","","evidence/S01.png"
"S02","auth-basic","빈 비밀번호 차단","통과","관리자 로그인 화면","비밀번호 없이 입장을 누른다","필수 입력을 요구하고 로그인 화면을 유지한다","","evidence/S02.png"
"S03","auth-basic","잘못된 비밀번호 안내","통과","관리자 로그인 화면","틀린 비밀번호를 제출한다","비밀번호가 일치하지 않는다는 안내가 표시된다","","evidence/S03.png"
"S04","auth-basic","올바른 로그인과 새로고침 유지","통과","올바른 테스트 비밀번호가 있다","로그인한 뒤 새로고침한다","로그인 상태와 관리자 보관함이 유지된다","","evidence/S04.png"
"S05","auth-basic","로그아웃 후 관리자 접근 차단","통과","로그인한 관리자","로그아웃을 누르고 관리자 화면을 다시 연다","로그인 화면으로 돌아간다","","evidence/S05.png"
"S06","auth-basic","인증 없는 초안 미리보기 차단","통과","로그인하지 않은 사용자","초안 미리보기 주소에 접속한다","초안 내용 대신 관리자 로그인 필요 안내를 표시한다","","evidence/S06.png"
"S07","auth-basic","인증 없이 공개 독서 가능","통과","비밀번호 보호가 켜진 환경의 일반 사용자","사용자 첫 화면에 접속한다","로그인 요구 없이 공개 도서를 볼 수 있다","","evidence/S07.png"
"S08","auth-basic","세션 종료 후 편집 저장 거부","통과","로그인 후 제목을 편집했다","세션을 지우고 저장을 누른다","로그인 필요 안내를 표시하며 편집 내용은 유지한다","","evidence/S08.png"
"PC390","responsive","client 화면 크기 390×844","통과","390×844 화면의 사용자","client 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PC390.png"
"PA390","responsive","admin 화면 크기 390×844","통과","390×844 화면의 사용자","admin 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PA390.png"
"PC768","responsive","client 화면 크기 768×1024","통과","768×1024 화면의 사용자","client 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PC768.png"
"PA768","responsive","admin 화면 크기 768×1024","통과","768×1024 화면의 사용자","admin 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PA768.png"
"PC1024","responsive","client 화면 크기 1024×768","통과","1024×768 화면의 사용자","client 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PC1024.png"
"PA1024","responsive","admin 화면 크기 1024×768","통과","1024×768 화면의 사용자","admin 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PA1024.png"
"PC1600","responsive","client 화면 크기 1600×1000","통과","1600×1000 화면의 사용자","client 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PC1600.png"
"PA1600","responsive","admin 화면 크기 1600×1000","통과","1600×1000 화면의 사용자","admin 첫 화면과 주요 동작을 확인한다","가로 넘침 없이 주요 버튼을 실제로 누를 수 있다","","evidence/PA1600.png"
"P09","responsive","작은 화면의 편집 주요 도구 접근","통과","390×844 화면의 관리자","책을 열어 저장 및 공개와 도구 영역을 확인한다","주요 편집 버튼이 화면 안에 있고 서로 겹쳐 가려지지 않는다","","evidence/P09.png"
"P10","responsive","동작 줄이기 설정에서 화면 이동","통과","운영체제의 동작 줄이기를 선택했다","사용자 화면에서 다음 챕터로 이동한다","화면이 멈추지 않고 다음 챕터를 표시한다","","evidence/P10.png"
"X01","accessibility","사용자 버튼의 이름 제공","통과","사용자 탐험 화면이 열려 있다","보조 기술이 버튼을 읽을 수 있는지 확인한다","보이는 모든 버튼에 읽을 수 있는 이름이 있다","","evidence/X01.png"
"X02","accessibility","도서 정보창 키보드 초점 제한","통과","도서 정보창이 열려 있다","Tab 키로 여러 번 이동한다","입력창 뒤의 편집 요소로 초점이 이동하지 않는다","","evidence/X02.png"
"X03","accessibility","키보드로 첫 화면의 탐험 시작","통과","마우스를 사용하지 않는 사용자","시작 버튼에 초점을 두고 Enter를 누른다","탐험 화면과 사용 안내가 열린다","","evidence/X03.png"
"X04","accessibility","모델 검색의 빈 결과 안내","통과","관리자 모델 보관함","존재하지 않는 모델 이름을 검색한다","검색 결과가 없음을 읽을 수 있는 문장으로 알린다","","evidence/X04.png"
"J01","uat-extended","새 책과 새 GLB 모델의 공개 독서 전체 과정","통과","관리자가 새 공개 도서를 준비한다","새 책을 만들고 GLB를 등록 및 배치한 뒤 본문을 작성해 공개한다","사용자 책장에서 새 책을 골라 모델과 본문을 볼 수 있다","","evidence/J01.png"
"J02","uat-extended","저장 도중 추가 수정의 미저장 상태 표시","실패","책 제목의 첫 변경을 저장 중이다","응답이 오기 전에 제목을 다시 변경한다","첫 변경만 저장되고 두 번째 변경은 미저장으로 표시한다","표시 누락: 저장하지 않은","evidence/J02.png"
"J03","uat-extended","나가기 중 저장 실패와 재시도","통과","저장되지 않은 도서 제목 변경이 있다","저장 후 나가기의 첫 요청을 실패시키고 다시 시도한다","나가기 창과 변경 내용을 보존하고 재시도 성공 후 나간다","","evidence/J03.png"
"J04","uat-extended","모든 도서를 비공개로 전환","통과","공개 도서 2권이 있다","각 책의 공개 대상을 해제하고 공개한다","사용자 화면에 준비 중 안내를 표시한다","","evidence/J04.png"
"J05","uat-extended","바닥 그림 드래그와 크기 저장","통과","도서 편집 화면에 기본 바닥 이미지가 있다","화살표 그림을 장면에 놓고 크기를 바꾼 뒤 저장한다","바닥 그림의 위치와 크기가 저장된다","","evidence/J05.png"
"J06","uat-extended","등록한 미사용 모델 삭제","통과","새 GLB 모델을 보관함에 등록했다","아직 배치하지 않은 모델을 삭제하고 저장한다","보관함에서 모델이 사라진다","","evidence/J06.png"
"J07","uat-extended","메인 모델 대체 삭제 저장","통과","메인과 보조 모델이 있는 챕터","메인 삭제 시 보조 모델을 대체로 선택한다","기존 메인은 제거되고 선택한 보조 모델이 메인이 된다","","evidence/J07.png"
"J08","uat-extended","본문 표시 해제와 사용자 반영","통과","첫 챕터에서 모델 접근 시 본문을 표시한다","본문과 카메라 연출 옵션을 해제한 뒤 공개한다","해당 챕터에서 본문 창 없이 탐험할 수 있다","","evidence/J08.png"
"Z01","edge-cases","겹치는 모델 반응 범위 저장 방지","통과","모델이 여러 개 있는 챕터","첫 모델의 반응 범위를 최대치로 늘린다","겹침을 안내하고 기존 범위를 유지한다","","evidence/Z01.png"
"Z02","edge-cases","공간 축소 시 외부 모델 검사","통과","모델을 현재 챕터 안쪽의 X=26 위치로 옮겼다","가로와 세로 크기를 최소값으로 줄인다","외부로 벗어나는 배치를 알리고 변경 적용을 막는다","","evidence/Z02.png"
